short_name,name,duns_number
XDIRE2,DIRECT ENERGY LP 2 (CRRAH),0397133545200
XDRWET,DRW ENERGY TRADING LLC (CRRAH),0801205485000
XDTET,DTE ENERGY TRADING INC (CRRAH),1799892315000
XDVTRA,DV TRADING LLC (CRRAH),3616588345000
XDXTCO,DXT COMMODITIES NORTH AMERICA INC (CRRAH),0808760735000
XDYNEC,DYNASTY ENERGY CALIFORNIA INC (CRRAH),2032730085000
XDYNE2,DYNASTY ENERGY CALIFORNIA INC 2 (CRRAH),2032730085100
XDYNE3,DYNASTY ENERGY CALIFORNIA INC 3 (CRRAH),2032730085200
XDYSTY,DYNASTY POWER INC (CRRAH),2452308215000
XDYST1,DYNASTY POWER INC 1 (CRRAH),2452308215100
XDYST2,DYNASTY POWER INC 2 (CRRAH),2452308215200
XETEC,EAST TEXAS ELECTRIC COOPERATIVE INC (CRRAH),9485352655000
XEDCPO,EDC POWER LLC (CRRAH),1181727165000
XEDFT2,EDF TRADING NORTH AMERICA LLC 2 (CRRAH),1091142515100
XEDFT3,EDF TRADING NORTH AMERICA LLC 3 (CRRAH),1091142515200
XEAGL,EDF TRADING NORTH AMERICA LLC I (CRRAH),1091142515000
XHWE,EDP RENEWABLES NORTH AMERICA LLC (CRRAH),0155344695000
XENELT,ENEL TRADING NORTH AMERICA LLC (CRRAH),0805985625000
XENEL1,ENEL TRADING NORTH AMERICA LLC 1 (CRRAH),0805985625100
XENEL2,ENEL TRADING NORTH AMERICA LLC 2 (CRRAH),0805985625200
XENERZ,ENERZCAPITAL LLC (CRRAH),1191209585000
XENER1,ENERZCAPITAL LLC 1 (CRRAH),1191209585100
XENER2,ENERZCAPITAL LLC 2 (CRRAH),1191209585200
XBTGP,ENGELHART CTP (US) LLC (CRRAH),0791244985000
XBTGP1,ENGELHART CTP (US) LLC 1 (CRRAH),0791244985100
XBTGP2,ENGELHART CTP (US) LLC 2 (CRRAH),0791244985200
XTRAIL,ENGELHART CTP ENERGY MARKETING LLC (CRRAH),0792685225000
XTRAI1,ENGELHART CTP ENERGY MARKETING LLC 1 (CRRAH),0792685225100
XTRAI2,ENGELHART CTP ENERGY MARKETING LLC 2 (CRRAH),0792685225200
XSUEZ,ENGIE ENERGY MARKETING NA INC (CRRAH),9689097395000
XSUEZI,ENGIE ENERGY MARKETING NA INC 2 (CRRAH),9689097395100
XSUEZ3,ENGIE ENERGY MARKETING NA INC 3 (CRRAH),9689097395200
XSUEZ1,ENGIE RESOURCES LLC (CRRAH),0996683325000
XSUEZ2,ENGIE RESOURCES LLC XSUEZ2 (CRRAH),0996683325100
XENJRE,ENJ RESEARCH LLC (CRRAH),1189331715000
XENTGR,ENTERGRID FUND I LLC (CRRAH),1169572785000
XENTG2,ENTERGRID FUND I LLC 1 (CRRAH),1169572785100
XENDUR,ETC ENDURE ENERGY LLC (CRRAH),8096434925000
